Currency,Strike,Total_GEX,Total_Abs_Gamma,Daily_Call_Settle,Daily_Call_OI,Daily_Put_Settle,Daily_Put_OI,Global_Call_Settle,Global_Call_OI,Global_Put_Settle,Global_Put_OI,R68_High,R68_Low,R95_High,R95_Low,Global_Month,Daily_Month
EUR,1.18,7442678148.934818,69314.09328706583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,1.1825,177881426.79273504,1541.959917000938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,1.185,88945180.7477545,1163.247323513928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,1.1875,183670469.95581654,1591.4664264919031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,1.19,3079469943.5093107,26052.380291711554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,1.1925,1362820.114480585,10.902560915844681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,1.195,4915827764.537218,41326.291078587776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,1.1975,37674907.369232,301.39925895385596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,1.2,70170203.72110507,5346.344977709015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,1.2025,1929369.7285352375,15.434957828281899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,1.205,15287959.263753362,288.0657919086932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,1.21,1933203008.6319478,15465.62406905558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,1.215,18375553.570108082,147.00442856086465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
